| Model   | Data             | Per   | Method   |      Acc |
| gaan    | amazon-computers | 0.03  | pr3      | 0.889471 |
| gaan    | amazon-computers | 0.03  | pr4      | 0.889761 |
| gaan    | amazon-computers | 0.06  | random   | 0.890052 |
| gaan    | amazon-computers | 0.06  | degree3  | 0.888598 |
| gaan    | amazon-computers | 0.06  | degree4  | 0.890343 |
| gaan    | amazon-computers | 0.06  | pr3      | 0.888598 |
| gaan    | amazon-computers | 0.06  | pr4      | 0.889761 |
| gaan    | amazon-computers | 0.1   | random   | 0.890925 |
| gaan    | amazon-computers | 0.1   | degree3  | 0.888889 |
| gaan    | amazon-computers | 0.1   | degree4  | 0.888307 |
| gaan    | amazon-computers | 0.1   | pr3      | 0.88918  |
| gaan    | amazon-computers | 0.1   | pr4      | 0.888307 |
| gaan    | amazon-computers | 0.2   | random   | 0.882199 |
| gaan    | amazon-computers | 0.2   | degree3  | 0.890925 |
| gaan    | amazon-computers | 0.2   | degree4  | 0.88918  |
| gaan    | amazon-computers | 0.2   | pr3      | 0.890343 |
| gaan    | amazon-computers | 0.2   | pr4      | 0.890052 |
| gaan    | amazon-computers | 0.5   | random   | 0.860384 |
| gaan    | amazon-computers | 0.5   | degree3  | 0.888016 |
| gaan    | amazon-computers | 0.5   | degree4  | 0.888307 |
| gaan    | amazon-computers | 0.5   | pr3      | 0.88598  |
| gaan    | amazon-computers | 0.5   | pr4      | 0.890052 |
| gcn     | pubmed | 0.01  | degree1  | 0.872 |
| gcn     | pubmed | 0.01  | degree2  | 0.873 |
| gcn     | pubmed | 0.01  | pr1      | 0.874 |
| gcn     | pubmed | 0.01  | pr2      | 0.873 |
| gcn     | pubmed | 0.03  | degree1  | 0.87  |
| gcn     | pubmed | 0.03  | degree2  | 0.872 |
| gcn     | pubmed | 0.03  | pr1      | 0.871 |
| gcn     | pubmed | 0.03  | pr2      | 0.871 |
| gcn     | pubmed | 0.06  | degree1  | 0.868 |
| gcn     | pubmed | 0.06  | degree2  | 0.871 |
| gcn     | pubmed | 0.06  | pr1      | 0.87  |
| gcn     | pubmed | 0.06  | pr2      | 0.868 |
| gcn     | pubmed | 0.1   | degree1  | 0.864 |
| gcn     | pubmed | 0.1   | degree2  | 0.869 |
| gcn     | pubmed | 0.1   | pr1      | 0.87  |
| gcn     | pubmed | 0.1   | pr2      | 0.872 |
| gcn     | pubmed | 0.2   | degree1  | 0.867 |
| gcn     | pubmed | 0.2   | degree2  | 0.873 |
| gcn     | pubmed | 0.2   | pr1      | 0.868 |
| gcn     | pubmed | 0.2   | pr2      | 0.869 |
| gcn     | pubmed | 0.5   | degree1  | 0.873 |
| gcn     | pubmed | 0.5   | degree2  | 0.87  |
| gcn     | pubmed | 0.5   | pr1      | 0.867 |
| gcn     | pubmed | 0.5   | pr2      | 0.871 |
| gcn     | coauthor-physics | 0.01  | degree1  | 0.961967 |
| gcn     | coauthor-physics | 0.01  | degree2  | 0.961967 |
| gcn     | coauthor-physics | 0.01  | pr1      | 0.963126 |
| gcn     | coauthor-physics | 0.01  | pr2      | 0.962546 |
| gcn     | coauthor-physics | 0.03  | degree1  | 0.961387 |
| gcn     | coauthor-physics | 0.03  | degree2  | 0.960459 |
| gcn     | coauthor-physics | 0.03  | pr1      | 0.961851 |
| gcn     | coauthor-physics | 0.03  | pr2      | 0.96243  |
| gcn     | coauthor-physics | 0.06  | degree1  | 0.95814  |
| gcn     | coauthor-physics | 0.06  | degree2  | 0.958488 |
| gcn     | coauthor-physics | 0.06  | pr1      | 0.9593   |
| gcn     | coauthor-physics | 0.06  | pr2      | 0.959416 |
| gcn     | coauthor-physics | 0.1   | degree1  | 0.955821 |
| gcn     | coauthor-physics | 0.1   | degree2  | 0.956053 |
| gcn     | coauthor-physics | 0.1   | pr1      | 0.954893 |
| gcn     | coauthor-physics | 0.1   | pr2      | 0.955705 |
| gcn     | coauthor-physics | 0.2   | degree1  | 0.952226 |
| gcn     | coauthor-physics | 0.2   | degree2  | 0.951067 |
| gcn     | coauthor-physics | 0.2   | pr1      | 0.953734 |
| gcn     | coauthor-physics | 0.2   | pr2      | 0.952922 |
| gcn     | coauthor-physics | 0.5   | degree1  | 0.9484   |
| gcn     | coauthor-physics | 0.5   | degree2  | 0.947588 |
| gcn     | coauthor-physics | 0.5   | pr1      | 0.949327 |
| gcn     | coauthor-physics | 0.5   | pr2      | 0.947936 |
| gcn     | amazon-photo | 0.01  | degree1  | 0.911657 |
| gcn     | amazon-photo | 0.01  | degree2  | 0.907475 |
| gcn     | amazon-photo | 0.01  | pr1      | 0.908521 |
| gcn     | amazon-photo | 0.01  | pr2      | 0.907475 |
| gcn     | amazon-photo | 0.03  | degree1  | 0.907475 |
| gcn     | amazon-photo | 0.03  | degree2  | 0.90068  |
| gcn     | amazon-photo | 0.03  | pr1      | 0.900157 |
| gcn     | amazon-photo | 0.03  | pr2      | 0.896498 |
| gcn     | amazon-photo | 0.06  | degree1  | 0.904339 |
| gcn     | amazon-photo | 0.06  | degree2  | 0.892316 |
| gcn     | amazon-photo | 0.06  | pr1      | 0.90068  |
| gcn     | amazon-photo | 0.06  | pr2      | 0.887611 |
| gcn     | amazon-photo | 0.1   | degree1  | 0.902248 |
| gcn     | amazon-photo | 0.1   | degree2  | 0.884997 |
| gcn     | amazon-photo | 0.1   | pr1      | 0.896498 |
| gcn     | amazon-photo | 0.1   | pr2      | 0.880293 |
| gcn     | amazon-photo | 0.2   | degree1  | 0.889179 |
| gcn     | amazon-photo | 0.2   | degree2  | 0.871929 |
| gcn     | amazon-photo | 0.2   | pr1      | 0.88552  |
| gcn     | amazon-photo | 0.2   | pr2      | 0.869315 |
| gcn     | amazon-photo | 0.5   | degree1  | 0.876111 |
| gcn     | amazon-photo | 0.5   | degree2  | 0.846837 |
| gcn     | amazon-photo | 0.5   | pr1      | 0.87402  |
| gcn     | amazon-photo | 0.5   | pr2      | 0.844224 |
| gcn     | amazon-computers | 0.01  | degree1  | 0.845841 |
| gcn     | amazon-computers | 0.01  | degree2  | 0.846713 |
| gcn     | amazon-computers | 0.01  | pr1      | 0.850204 |
| gcn     | amazon-computers | 0.01  | pr2      | 0.849331 |
| gcn     | amazon-computers | 0.03  | degree1  | 0.839732 |
| gcn     | amazon-computers | 0.03  | degree2  | 0.837987 |
| gcn     | amazon-computers | 0.03  | pr1      | 0.844095 |
| gcn     | amazon-computers | 0.03  | pr2      | 0.839732 |
| gcn     | amazon-computers | 0.06  | degree1  | 0.833042 |
| gcn     | amazon-computers | 0.06  | degree2  | 0.824026 |
| gcn     | amazon-computers | 0.06  | pr1      | 0.836824 |
| gcn     | amazon-computers | 0.06  | pr2      | 0.829261 |
| gcn     | amazon-computers | 0.1   | degree1  | 0.82228  |
| gcn     | amazon-computers | 0.1   | degree2  | 0.810937 |
| gcn     | amazon-computers | 0.1   | pr1      | 0.82228  |
| gcn     | amazon-computers | 0.1   | pr2      | 0.817627 |
| gcn     | amazon-computers | 0.2   | degree1  | 0.805992 |
| gcn     | amazon-computers | 0.2   | degree2  | 0.786504 |
| gcn     | amazon-computers | 0.2   | pr1      | 0.80861  |
| gcn     | amazon-computers | 0.2   | pr2      | 0.799884 |
| gcn     | amazon-computers | 0.5   | degree1  | 0.782723 |
| gcn     | amazon-computers | 0.5   | degree2  | 0.750727 |
| gcn     | amazon-computers | 0.5   | pr1      | 0.783595 |
| gcn     | amazon-computers | 0.5   | pr2      | 0.76498  |
| gat     | pubmed | 0.01  | degree1  | 0.861 |
| gat     | pubmed | 0.01  | degree2  | 0.862 |
| gat     | pubmed | 0.01  | pr1      | 0.861 |
| gat     | pubmed | 0.01  | pr2      | 0.86  |
| gat     | pubmed | 0.03  | degree1  | 0.861 |
| gat     | pubmed | 0.03  | degree2  | 0.861 |
| gat     | pubmed | 0.03  | pr1      | 0.86  |
| gat     | pubmed | 0.03  | pr2      | 0.859 |
| gat     | pubmed | 0.06  | degree1  | 0.862 |
| gat     | pubmed | 0.06  | degree2  | 0.86  |
| gat     | pubmed | 0.06  | pr1      | 0.864 |
| gat     | pubmed | 0.06  | pr2      | 0.861 |
| gat     | pubmed | 0.1   | degree1  | 0.859 |
| gat     | pubmed | 0.1   | degree2  | 0.862 |
| gat     | pubmed | 0.1   | pr1      | 0.867 |
| gat     | pubmed | 0.1   | pr2      | 0.865 |
| gat     | pubmed | 0.2   | degree1  | 0.871 |
| gat     | pubmed | 0.2   | degree2  | 0.866 |
| gat     | pubmed | 0.2   | pr1      | 0.877 |
| gat     | pubmed | 0.2   | pr2      | 0.866 |
| gat     | pubmed | 0.5   | degree1  | 0.873 |
| gat     | pubmed | 0.5   | degree2  | 0.868 |
| gat     | pubmed | 0.5   | pr1      | 0.871 |
| gat     | pubmed | 0.5   | pr2      | 0.87  |
| gat     | amazon-computers | 0.01  | degree1  | 0.821408 |
| gat     | amazon-computers | 0.01  | degree2  | 0.82228  |
| gat     | amazon-computers | 0.01  | pr1      | 0.82228  |
| gat     | amazon-computers | 0.01  | pr2      | 0.823153 |
| gat     | amazon-computers | 0.03  | degree1  | 0.819081 |
| gat     | amazon-computers | 0.03  | degree2  | 0.814427 |
| gat     | amazon-computers | 0.03  | pr1      | 0.819663 |
| gat     | amazon-computers | 0.03  | pr2      | 0.81559  |
| gat     | amazon-computers | 0.06  | degree1  | 0.811809 |
| gat     | amazon-computers | 0.06  | degree2  | 0.799884 |
| gat     | amazon-computers | 0.06  | pr1      | 0.813554 |
| gat     | amazon-computers | 0.06  | pr2      | 0.805119 |
| gat     | amazon-computers | 0.1   | degree1  | 0.804247 |
| gat     | amazon-computers | 0.1   | degree2  | 0.78854  |
| gat     | amazon-computers | 0.1   | pr1      | 0.805119 |
| gat     | amazon-computers | 0.1   | pr2      | 0.794939 |
| gat     | amazon-computers | 0.2   | degree1  | 0.786795 |
| gat     | amazon-computers | 0.2   | degree2  | 0.760908 |
| gat     | amazon-computers | 0.2   | pr1      | 0.785049 |
| gat     | amazon-computers | 0.2   | pr2      | 0.768761 |
| gat     | amazon-computers | 0.5   | degree1  | 0.769634 |
| gat     | amazon-computers | 0.5   | degree2  | 0.729785 |
| gat     | amazon-computers | 0.5   | pr1      | 0.775451 |
| gat     | amazon-computers | 0.5   | pr2      | 0.747818 |
| gat     | coauthor-physics | 0.01  | degree1  | 0.959068 |
| gat     | coauthor-physics | 0.01  | degree2  | 0.958256 |
| gat     | coauthor-physics | 0.01  | pr1      | 0.959763 |
| gat     | coauthor-physics | 0.01  | pr2      | 0.958488 |
| gat     | coauthor-physics | 0.03  | degree1  | 0.957096 |
| gat     | coauthor-physics | 0.03  | degree2  | 0.955589 |
| gat     | coauthor-physics | 0.03  | pr1      | 0.95756  |
| gat     | coauthor-physics | 0.03  | pr2      | 0.957212 |
| gat     | coauthor-physics | 0.06  | degree1  | 0.954777 |
| gat     | coauthor-physics | 0.06  | degree2  | 0.951531 |
| gat     | coauthor-physics | 0.06  | pr1      | 0.955473 |
| gat     | coauthor-physics | 0.06  | pr2      | 0.953734 |
| gat     | coauthor-physics | 0.1   | degree1  | 0.95211  |
| gat     | coauthor-physics | 0.1   | degree2  | 0.948168 |
| gat     | coauthor-physics | 0.1   | pr1      | 0.951647 |
| gat     | coauthor-physics | 0.1   | pr2      | 0.950487 |
| gat     | coauthor-physics | 0.2   | degree1  | 0.948052 |
| gat     | coauthor-physics | 0.2   | degree2  | 0.945037 |
| gat     | coauthor-physics | 0.2   | pr1      | 0.94898  |
| gat     | coauthor-physics | 0.2   | pr2      | 0.946776 |
| gat     | coauthor-physics | 0.5   | degree1  | 0.946545 |
| gat     | coauthor-physics | 0.5   | degree2  | 0.943878 |
| gat     | coauthor-physics | 0.5   | pr1      | 0.947704 |
| gat     | coauthor-physics | 0.5   | pr2      | 0.943994 |
| gaan    | amazon-photo | 0.01  | degree1  | 0.937794 |
| gaan    | amazon-photo | 0.01  | degree2  | 0.93884  |
| gaan    | amazon-photo | 0.01  | pr1      | 0.939885 |
| gaan    | amazon-photo | 0.01  | pr2      | 0.941976 |
| gaan    | amazon-photo | 0.03  | degree1  | 0.932567 |
| gaan    | amazon-photo | 0.03  | degree2  | 0.934135 |
| gaan    | amazon-photo | 0.03  | pr1      | 0.936226 |
| gaan    | amazon-photo | 0.03  | pr2      | 0.936749 |
| gaan    | amazon-photo | 0.06  | degree1  | 0.924203 |
| gaan    | amazon-photo | 0.06  | degree2  | 0.925771 |
| gaan    | amazon-photo | 0.06  | pr1      | 0.930476 |
| gaan    | amazon-photo | 0.06  | pr2      | 0.935703 |
| gaan    | amazon-photo | 0.1   | degree1  | 0.917407 |
| gaan    | amazon-photo | 0.1   | degree2  | 0.91793  |
| gaan    | amazon-photo | 0.1   | pr1      | 0.924203 |
| gaan    | amazon-photo | 0.1   | pr2      | 0.925248 |
| gaan    | amazon-photo | 0.2   | degree1  | 0.897543 |
| gaan    | amazon-photo | 0.2   | degree2  | 0.899111 |
| gaan    | amazon-photo | 0.2   | pr1      | 0.900157 |
| gaan    | amazon-photo | 0.2   | pr2      | 0.902248 |
| gaan    | amazon-photo | 0.5   | degree1  | 0.86252  |
| gaan    | amazon-photo | 0.5   | degree2  | 0.857815 |
| gaan    | amazon-photo | 0.5   | pr1      | 0.85886  |
| gaan    | amazon-photo | 0.5   | pr2      | 0.863042 |
| gaan    | pubmed | 0.01  | degree1  | 0.899 |
| gaan    | pubmed | 0.01  | degree2  | 0.899 |
| gaan    | pubmed | 0.01  | pr1      | 0.901 |
| gaan    | pubmed | 0.01  | pr2      | 0.9   |
| gaan    | pubmed | 0.03  | degree1  | 0.896 |
| gaan    | pubmed | 0.03  | degree2  | 0.899 |
| gaan    | pubmed | 0.03  | pr1      | 0.9   |
| gaan    | pubmed | 0.03  | pr2      | 0.896 |
| gaan    | pubmed | 0.06  | degree1  | 0.896 |
| gaan    | pubmed | 0.06  | degree2  | 0.899 |
| gaan    | pubmed | 0.06  | pr1      | 0.897 |
| gaan    | pubmed | 0.06  | pr2      | 0.896 |
| gaan    | pubmed | 0.1   | degree1  | 0.89  |
| gaan    | pubmed | 0.1   | degree2  | 0.892 |
| gaan    | pubmed | 0.1   | pr1      | 0.893 |
| gaan    | pubmed | 0.1   | pr2      | 0.897 |
| gaan    | pubmed | 0.2   | degree1  | 0.885 |
| gaan    | pubmed | 0.2   | degree2  | 0.883 |
| gaan    | pubmed | 0.2   | pr1      | 0.891 |
| gaan    | pubmed | 0.2   | pr2      | 0.895 |
| gaan    | pubmed | 0.5   | degree1  | 0.879 |
| gaan    | pubmed | 0.5   | degree2  | 0.88  |
| gaan    | pubmed | 0.5   | pr1      | 0.881 |
| gaan    | pubmed | 0.5   | pr2      | 0.883 |
| gaan    | amazon-computers | 0.01  | degree1  | 0.879581 |
| gaan    | amazon-computers | 0.01  | degree2  | 0.881617 |
| gaan    | amazon-computers | 0.01  | pr1      | 0.882199 |
| gaan    | amazon-computers | 0.01  | pr2      | 0.884817 |
| gaan    | amazon-computers | 0.03  | degree1  | 0.865329 |
| gaan    | amazon-computers | 0.03  | degree2  | 0.871437 |
| gaan    | amazon-computers | 0.03  | pr1      | 0.871437 |
| gaan    | amazon-computers | 0.03  | pr2      | 0.877545 |
| gaan    | amazon-computers | 0.06  | degree1  | 0.84904  |
| gaan    | amazon-computers | 0.06  | degree2  | 0.857475 |
| gaan    | amazon-computers | 0.06  | pr1      | 0.861257 |
| gaan    | amazon-computers | 0.06  | pr2      | 0.867946 |
| gaan    | amazon-computers | 0.1   | degree1  | 0.833624 |
| gaan    | amazon-computers | 0.1   | degree2  | 0.840023 |
| gaan    | amazon-computers | 0.1   | pr1      | 0.847295 |
| gaan    | amazon-computers | 0.1   | pr2      | 0.856894 |
| gaan    | amazon-computers | 0.2   | degree1  | 0.796102 |
| gaan    | amazon-computers | 0.2   | degree2  | 0.803083 |
| gaan    | amazon-computers | 0.2   | pr1      | 0.817045 |
| gaan    | amazon-computers | 0.2   | pr2      | 0.821117 |
| gaan    | amazon-computers | 0.5   | degree1  | 0.702152 |
| gaan    | amazon-computers | 0.5   | degree2  | 0.706515 |
| gaan    | amazon-computers | 0.5   | pr1      | 0.730366 |
| gaan    | amazon-computers | 0.5   | pr2      | 0.748982 |
| ggnn    | coauthor-physics | 0.01  | degree1  | 0.915468 |
| ggnn    | coauthor-physics | 0.01  | degree2  | 0.918831 |
| ggnn    | coauthor-physics | 0.01  | pr1      | 0.918599 |
| ggnn    | coauthor-physics | 0.01  | pr2      | 0.925557 |
| ggnn    | coauthor-physics | 0.03  | degree1  | 0.888335 |
| ggnn    | coauthor-physics | 0.03  | degree2  | 0.900162 |
| ggnn    | coauthor-physics | 0.03  | pr1      | 0.898423 |
| ggnn    | coauthor-physics | 0.03  | pr2      | 0.915237 |
| ggnn    | coauthor-physics | 0.06  | degree1  | 0.846591 |
| ggnn    | coauthor-physics | 0.06  | degree2  | 0.87442  |
| ggnn    | coauthor-physics | 0.06  | pr1      | 0.873724 |
| ggnn    | coauthor-physics | 0.06  | pr2      | 0.89993  |
| ggnn    | coauthor-physics | 0.1   | degree1  | 0.804151 |
| ggnn    | coauthor-physics | 0.1   | degree2  | 0.843692 |
| ggnn    | coauthor-physics | 0.1   | pr1      | 0.839286 |
| ggnn    | coauthor-physics | 0.1   | pr2      | 0.876507 |
| ggnn    | coauthor-physics | 0.2   | degree1  | 0.71904  |
| ggnn    | coauthor-physics | 0.2   | degree2  | 0.776206 |
| ggnn    | coauthor-physics | 0.2   | pr1      | 0.771568 |
| ggnn    | coauthor-physics | 0.2   | pr2      | 0.828618 |
| ggnn    | coauthor-physics | 0.5   | degree1  | 0.485042 |
| ggnn    | coauthor-physics | 0.5   | degree2  | 0.560761 |
| ggnn    | coauthor-physics | 0.5   | pr1      | 0.566558 |
| ggnn    | coauthor-physics | 0.5   | pr2      | 0.655612 |
| ggnn    | amazon-computers | 0.01  | degree1  | 0.85224  |
| ggnn    | amazon-computers | 0.01  | degree2  | 0.865038 |
| ggnn    | amazon-computers | 0.01  | pr1      | 0.865329 |
| ggnn    | amazon-computers | 0.01  | pr2      | 0.873764 |
| ggnn    | amazon-computers | 0.03  | degree1  | 0.823735 |
| ggnn    | amazon-computers | 0.03  | degree2  | 0.847295 |
| ggnn    | amazon-computers | 0.03  | pr1      | 0.847295 |
| ggnn    | amazon-computers | 0.03  | pr2      | 0.859802 |
| ggnn    | amazon-computers | 0.06  | degree1  | 0.788831 |
| ggnn    | amazon-computers | 0.06  | degree2  | 0.8153   |
| ggnn    | amazon-computers | 0.06  | pr1      | 0.820244 |
| ggnn    | amazon-computers | 0.06  | pr2      | 0.839442 |
| ggnn    | amazon-computers | 0.1   | degree1  | 0.74491  |
| ggnn    | amazon-computers | 0.1   | degree2  | 0.783595 |
| ggnn    | amazon-computers | 0.1   | pr1      | 0.787667 |
| ggnn    | amazon-computers | 0.1   | pr2      | 0.81559  |
| ggnn    | amazon-computers | 0.2   | degree1  | 0.66783  |
| ggnn    | amazon-computers | 0.2   | degree2  | 0.71146  |
| ggnn    | amazon-computers | 0.2   | pr1      | 0.720477 |
| ggnn    | amazon-computers | 0.2   | pr2      | 0.754218 |
| ggnn    | amazon-computers | 0.5   | degree1  | 0.490401 |
| ggnn    | amazon-computers | 0.5   | degree2  | 0.495928 |
| ggnn    | amazon-computers | 0.5   | pr1      | 0.569226 |
| ggnn    | amazon-computers | 0.5   | pr2      | 0.602676 |
| ggnn    | coauthor-physics | 0.01  | degree1  | 0.915468 |
| ggnn    | coauthor-physics | 0.01  | degree2  | 0.918831 |
| ggnn    | coauthor-physics | 0.01  | pr1      | 0.918599 |
| ggnn    | coauthor-physics | 0.01  | pr2      | 0.925557 |
| ggnn    | coauthor-physics | 0.03  | degree1  | 0.888335 |
| ggnn    | coauthor-physics | 0.03  | degree2  | 0.900162 |
| ggnn    | coauthor-physics | 0.03  | pr1      | 0.898423 |
| ggnn    | coauthor-physics | 0.03  | pr2      | 0.915237 |
| ggnn    | coauthor-physics | 0.06  | degree1  | 0.846591 |
| ggnn    | coauthor-physics | 0.06  | degree2  | 0.87442  |
| ggnn    | coauthor-physics | 0.06  | pr1      | 0.873724 |
| ggnn    | coauthor-physics | 0.06  | pr2      | 0.89993  |
| ggnn    | coauthor-physics | 0.1   | degree1  | 0.804151 |
| ggnn    | coauthor-physics | 0.1   | degree2  | 0.843692 |
| ggnn    | coauthor-physics | 0.1   | pr1      | 0.839286 |
| ggnn    | coauthor-physics | 0.1   | pr2      | 0.876507 |
| ggnn    | coauthor-physics | 0.2   | degree1  | 0.71904  |
| ggnn    | coauthor-physics | 0.2   | degree2  | 0.776206 |
| ggnn    | coauthor-physics | 0.2   | pr1      | 0.771568 |
| ggnn    | coauthor-physics | 0.2   | pr2      | 0.828618 |
| ggnn    | coauthor-physics | 0.5   | degree1  | 0.485042 |
| ggnn    | coauthor-physics | 0.5   | degree2  | 0.560761 |
| ggnn    | coauthor-physics | 0.5   | pr1      | 0.566558 |
| ggnn    | coauthor-physics | 0.5   | pr2      | 0.655612 |
| gat     | amazon-photo | 0.01  | degree1  | 0.924726 |
| gat     | amazon-photo | 0.03  | degree1  | 0.919498 |
| gat     | amazon-photo | 0.06  | degree1  | 0.914271 |
| gat     | amazon-photo | 0.1   | degree1  | 0.911134 |
| gat     | amazon-photo | 0.2   | degree1  | 0.897543 |
| gat     | amazon-photo | 0.5   | degree1  | 0.870883 |
