| Model   | Data             | Per   | Method   |      Acc |
| gcn     | coauthor-physics | 0.03  | degree4  | 0.963358 |
| gcn     | coauthor-physics | 0.03  | pr3      | 0.963474 |
| gcn     | coauthor-physics | 0.03  | pr4      | 0.963358 |
| gcn     | coauthor-physics | 0.06  | random   | 0.962199 |
| gcn     | coauthor-physics | 0.06  | degree3  | 0.96359  |
| gcn     | coauthor-physics | 0.06  | degree4  | 0.963242 |
| gcn     | coauthor-physics | 0.06  | pr3      | 0.963126 |
| gcn     | coauthor-physics | 0.06  | pr4      | 0.963126 |
| gcn     | coauthor-physics | 0.1   | random   | 0.963474 |
| gcn     | coauthor-physics | 0.1   | degree3  | 0.962894 |
| gcn     | coauthor-physics | 0.1   | degree4  | 0.963242 |
| gcn     | coauthor-physics | 0.1   | pr3      | 0.963242 |
| gcn     | coauthor-physics | 0.1   | pr4      | 0.963474 |
| gcn     | coauthor-physics | 0.2   | random   | 0.960575 |
| gcn     | coauthor-physics | 0.2   | degree3  | 0.962778 |
| gcn     | coauthor-physics | 0.2   | degree4  | 0.962546 |
| gcn     | coauthor-physics | 0.2   | pr3      | 0.963474 |
| gcn     | coauthor-physics | 0.2   | pr4      | 0.963126 |
| gcn     | coauthor-physics | 0.5   | random   | 0.953502 |
| gcn     | coauthor-physics | 0.5   | degree3  | 0.961503 |
| gcn     | coauthor-physics | 0.5   | degree4  | 0.960343 |
| gcn     | coauthor-physics | 0.5   | pr3      | 0.960691 |
| gcn     | coauthor-physics | 0.5   | pr4      | 0.961271 |
| gat     | amazon-photo     | full  | none     | 0.925771 |
| gat     | amazon-photo     | 0.01  | random   | 0.926294 |
| gat     | amazon-photo     | 0.01  | degree3  | 0.925771 |
| gat     | amazon-photo     | 0.01  | degree4  | 0.926294 |
| gat     | amazon-photo     | 0.01  | pr3      | 0.925248 |
| gat     | amazon-photo     | 0.01  | pr4      | 0.925771 |
| gat     | amazon-photo     | 0.03  | random   | 0.925248 |
| gat     | amazon-photo     | 0.03  | degree3  | 0.925771 |
| gat     | amazon-photo     | 0.03  | degree4  | 0.926817 |
| gat     | amazon-photo     | 0.03  | pr3      | 0.925771 |
| gat     | amazon-photo     | 0.03  | pr4      | 0.925771 |
| gat     | amazon-photo     | 0.06  | random   | 0.925248 |
| gat     | amazon-photo     | 0.06  | degree3  | 0.925248 |
| gat     | amazon-photo     | 0.06  | degree4  | 0.925771 |
| gat     | amazon-photo     | 0.06  | pr3      | 0.925248 |
| gat     | amazon-photo     | 0.06  | pr4      | 0.924726 |
| gat     | amazon-photo     | 0.1   | random   | 0.924203 |
| gat     | amazon-photo     | 0.1   | degree3  | 0.926294 |
| gat     | amazon-photo     | 0.1   | degree4  | 0.927339 |
| gat     | amazon-photo     | 0.1   | pr3      | 0.926817 |
| gat     | amazon-photo     | 0.1   | pr4      | 0.927862 |
| gat     | amazon-photo     | 0.2   | random   | 0.926817 |
| gat     | amazon-photo     | 0.2   | degree3  | 0.92943  |
| gat     | amazon-photo     | 0.2   | degree4  | 0.92943  |
| gat     | amazon-photo     | 0.2   | pr3      | 0.926294 |
| gat     | amazon-photo     | 0.2   | pr4      | 0.92943  |
| gat     | amazon-photo     | 0.5   | random   | 0.922635 |
| gat     | amazon-photo     | 0.5   | degree3  | 0.918453 |
